"Sexo", "Idade", "Ano base", "Raca"
"1","418","1998","1"
"1","464","2001","1"
"2","457","2001","1"
"1","467","1997","1"
"1","478","2001","1"
"1","444","2003","4"
"1","451","2004","1"
"1","415","1997","1"
"1","452","2003"," "
"1","454","2005","1"
"1","468","2001","1"
"1","442","2004","1"
"1","464","2005","1"
"2","474","1997","4"
"2","477","2000","1"
"2","496","2001","1"
"2","463","2004","1"
"2","480","2001","1"
"1","470","2000","1"
"2","468","2002","1"
"1","460","1998","1"
"2","446","2000","1"
"1","416","2004","1"
"1","452","2002","1"
"1","476","2004","1"
"1","473","2003","1"
"1","478","2004","4"
"1","488","2004","1"
"1","448","2001","4"
"2","228","2004","1"
"1","471","2004","4"
"2","459","2005","1"
"1","455","1998","2"
"2","401","1998","1"
"2","492","2002","1"
"2","469","1998","1"
"1","487","1999","1"
"1","479","2000","1"
"1","449","2004","1"
"2","475","1999","2"
"2","488","1999","1"
"1","438","2004","4"
"2","482","1998","1"
"1","448","2003","1"
"2","459","2001","1"
"1","461","2000","1"
"1","424","2004","1"
"1","445","2000","1"
"1","466","2005","1"
"2","487","2002","1"
"2","460","1999","1"
"2","478","2004","1"
"2","450","2000","1"
"1","488","2000","1"
"1","458","2004","1"
"1","484","2004","1"
"1","468","1998","1"
"1","481","2000","1"
"1","477","2004","1"
"1","431","1997","1"
"1","463","2001","1"
"2","466","2003","1"
"2","470","2004","1"
"1","452","2004","1"
"2","307","2003","1"
"2","475","2004","1"
"1","413","1999","1"
"1","451","2000"," "
"1","463","2003","1"
"2","406","2002","1"
"2","475","2004","2"
"1","478","2000","1"
"2","484","2002","1"
"1","470","1999","1"
"1","459","2000","4"
"1","409","1999","1"
"1","426","2002","1"
"1","482","2003","1"
"1","436","2004","1"
"2","445","1998","1"
"1","464","2003","1"
"1","468","2002","1"
"2","449","1997","1"
"2","479","1998","1"
"2","460","1998","1"
"1","475","2002","1"
"2","447","2003","1"
"2","482","2005","1"
"2","468","2001","1"
"1","462","2003","1"
"2","453","2004","1"
"1","495","2001","1"
"1","462","2002","1"
"1","403","1997","1"
"2","446","2005","1"
"2","469","2005","1"
"1","304","2000","1"
"1","444","2004","1"
"1","407","1998","1"
"2","471","2001","1"
"1","491","2004","1"
"2","301","1998","1"
"1","477","1998","1"
"1","462","1998","1"
"2","470","1998","1"
"2","418","2000","1"
"1","438","1997","1"
"1","423","2001","1"
"2","468","2002","2"
"1","460","2005","1"
"1","486","2000","1"
"1","454","2004","1"
"2","485","2005","1"
"1","455","2003","1"
"1","464","2004","1"
"1","482","1998","1"
"2","445","2003","1"
"1","454","1998","1"
"2","439","2001","1"
"1","472","2003","1"
